name,slug,url
Bayt (International),international,https://www.bayt.com/en/international/jobs/
Bayt (UAE),uae,https://www.bayt.com/en/uae/jobs/
Bayt (Saudi Arabia),saudi-arabia,https://www.bayt.com/en/saudi-arabia/jobs/
Bayt (Egypt),egypt,https://www.bayt.com/en/egypt/jobs/
Bayt (Lebanon),lebanon,https://www.bayt.com/en/lebanon/jobs/
Bayt (Qatar),qatar,https://www.bayt.com/en/qatar/jobs/
Bayt (Kuwait),kuwait,https://www.bayt.com/en/kuwait/jobs/
Bayt (Bahrain),bahrain,https://www.bayt.com/en/bahrain/jobs/
Bayt (Oman),oman,https://www.bayt.com/en/oman/jobs/
Bayt (Jordan),jordan,https://www.bayt.com/en/jordan/jobs/
Bayt (Morocco),morocco,https://www.bayt.com/en/morocco/jobs/
