name,slug,url
10-4 Truck Recruiting,10-4-truck-recruiting,https://10-4-truck-recruiting.breezy.hr
1001,1001,https://1001.breezy.hr
10Pearls,10pearls,https://10pearls.breezy.hr
11Onze,11onze,https://11onze.breezy.hr
1440 Foods Manufacturing,1440-foods-manufacturing,https://1440-foods-manufacturing.breezy.hr
1kx LP,1kx,https://1kx.breezy.hr
20four7VA,20four7va,https://20four7va.breezy.hr
3EX,3ex,https://3ex.breezy.hr
Xebia,47-degrees,https://47-degrees.breezy.hr
4th Day Trucking,4th-day-trucking,https://4th-day-trucking.breezy.hr
6037,6037,https://6037.breezy.hr
7AM Enfant Inc.,7am-enfant-inc,https://7am-enfant-inc.breezy.hr
A Hiring Group,a-hiringgroup,https://a-hiringgroup.breezy.hr
A&P Group,a-p-group-ltd,https://a-p-group-ltd.breezy.hr
A2H,a2h,https://a2h.breezy.hr
AAH,aah,https://aah.breezy.hr
aau,aau,https://aau.breezy.hr
Abax Health,abax-health-inc,https://abax-health-inc.breezy.hr
ABC Company,abba,https://abba.breezy.hr
abc,abc,https://abc.breezy.hr
ABC Imaging,abc-imaging,https://abc-imaging.breezy.hr
Ablefy,ablefy,https://ablefy.breezy.hr
ABS,abs,https://abs.breezy.hr
Absolute Pets,absolute-pets,https://absolute-pets.breezy.hr
Abstract,abstractgroup,https://abstractgroup.breezy.hr
AC4M4U,ac4m4u,https://ac4m4u.breezy.hr
Academy,academy,https://academy.breezy.hr
Accelerate360,accelerate,https://accelerate.breezy.hr
Accelerated Growth Studio,accelerated-growth-studio,https://accelerated-growth-studio.breezy.hr
Accent It,accentit,https://accentit.breezy.hr
Accenture,accenture,https://accenture.breezy.hr
Accrete,accrete-ai,https://accrete-ai.breezy.hr
ACME,acme,https://acme.breezy.hr
Acmecorp,acmecorp,https://acmecorp.breezy.hr
Assured Consulting Solutions,acs,https://acs.breezy.hr
Active Dental,active-dental-management,https://active-dental-management.breezy.hr
Acute Nursing Care,acute-nursing-care,https://acute-nursing-care.breezy.hr
Adapt,adapt,https://adapt.breezy.hr
ADDX,addx,https://addx.breezy.hr
"AdNet AccountNet, Inc.",adnet-accountnet-inc,https://adnet-accountnet-inc.breezy.hr
Adobe - Contract,adobe,https://adobe.breezy.hr
