name,slug,url
Airtel,airtel,https://airtel.darwinbox.in/ms/candidate/careers
BigBasket,bigbasket,https://bigbasket.darwinbox.in/ms/candidate/careers
Cars24,cars24,https://cars24.darwinbox.in/ms/candidate/careers
Delhivery,delhivery,https://delhivery.darwinbox.in/ms/candidate/careers
Evalueserve (Lighthouse),lighthouse.com,https://lighthouse.darwinbox.com/ms/candidate/careers
Mygate,mygate,https://mygate.darwinbox.in/ms/candidate/careers
PwC Asia,pwc.com,https://pwc.darwinbox.com/ms/candidate/careers
Security Bank Cards (SBC Hero),sbchero.com,https://sbchero.darwinbox.com/ms/candidate/careers
1mg (Tata 1mg),1mg,https://1mg.darwinbox.in/ms/candidate/careers
Aarti Industries,aartiindustries,https://aartiindustries.darwinbox.in/ms/candidate/careers
ABP Network,abpnetwork,https://abpnetwork.darwinbox.in/ms/candidate/careers
Addof,addof.com,https://addof.darwinbox.com/ms/candidate/careers
Affle,affle,https://affle.darwinbox.in/ms/candidate/careers
AgroStar,agrostar,https://agrostar.darwinbox.in/ms/candidate/careers
Al Fardan Group,alfardan.com,https://alfardan.darwinbox.com/ms/candidate/careers
Allcargo,allcargo,https://allcargo.darwinbox.in/ms/candidate/careers
Aragen Life Sciences,aragen,https://aragen.darwinbox.in/ms/candidate/careers
Arvind,arvind,https://arvind.darwinbox.in/ms/candidate/careers
Ather Energy,atherenergy,https://atherenergy.darwinbox.in/ms/candidate/careers
Bajaj Electricals,bel.com,https://bel.darwinbox.com/ms/candidate/careers
Bank BTPN,btpn.com,https://btpn.darwinbox.com/ms/candidate/careers
Bharti Airtel Foundation,bhartifoundation,https://bhartifoundation.darwinbox.in/ms/candidate/careers
Botree Software (HRMS Botree),hrmsbotree,https://hrmsbotree.darwinbox.in/ms/candidate/careers
Brigade Group,brigadegroup,https://brigadegroup.darwinbox.in/ms/candidate/careers
BSA,bsa.com,https://bsa.darwinbox.com/ms/candidate/careers
Busy Bees Asia,busybeesasia.com,https://busybeesasia.darwinbox.com/ms/candidate/careers
Casagrand,casagrand,https://casagrand.darwinbox.in/ms/candidate/careers
Coding Ninjas,codingninjas,https://codingninjas.darwinbox.in/ms/candidate/careers
Cure.fit (Curefit Healthcare),curefit,https://curefit.darwinbox.in/ms/candidate/careers
Darwinbox (dbx),dbx,https://dbx.darwinbox.in/ms/candidate/careers
Darwinbox Digital Solutions (dbox),dbox,https://dbox.darwinbox.in/ms/candidate/careers
Deepak Group,deepak,https://deepak.darwinbox.in/ms/candidate/careers
DMI Unify (DMI Finance),dmiunify,https://dmiunify.darwinbox.in/ms/candidate/careers
Duroflex Group,duroflex,https://duroflex.darwinbox.in/ms/candidate/careers
Edelweiss Life Insurance,edelweisslife,https://edelweisslife.darwinbox.in/ms/candidate/careers
Emeritus,emeritus,https://emeritus.darwinbox.in/ms/candidate/careers
Excelra,excelra,https://excelra.darwinbox.in/ms/candidate/careers
Galaxy Surfactants,mygalaxy,https://mygalaxy.darwinbox.in/ms/candidate/careers
Glenmark,glenmark,https://glenmark.darwinbox.in/ms/candidate/careers
Great Learning,greatlearning,https://greatlearning.darwinbox.in/ms/candidate/careers
GYS,gys.com,https://gys.darwinbox.com/ms/candidate/careers
Hetero,hetero,https://hetero.darwinbox.in/ms/candidate/careers
HL Mando India,hrmsmandoindia,https://hrmsmandoindia.darwinbox.in/ms/candidate/careers
HOH / HFS,hoh,https://hoh.darwinbox.in/ms/candidate/careers
Honasa Consumer (Mamaearth),honasa,https://honasa.darwinbox.in/ms/candidate/careers
ITC Hotels,itchotels,https://itchotels.darwinbox.in/ms/candidate/careers
JSW (My JSW),myjsw,https://myjsw.darwinbox.in/ms/candidate/careers
Kirloskar Oil Engines,koel,https://koel.darwinbox.in/ms/candidate/careers
Kissht,ring,https://ring.darwinbox.in/ms/candidate/careers
Kopi Kenangan,kopikenangan.com,https://kopikenangan.darwinbox.com/ms/candidate/careers
Kotak Securities,kotaksecurities,https://kotaksecurities.darwinbox.in/ms/candidate/careers
LeadSquared,leadsquaredhrms,https://leadsquaredhrms.darwinbox.in/ms/candidate/careers
Licious,licious,https://licious.darwinbox.in/ms/candidate/careers
Mahindra Logistics,nectar,https://nectar.darwinbox.in/ms/candidate/careers
MatchMove,matchmove.com,https://matchmove.darwinbox.com/ms/candidate/careers
Maxicare Healthcare (Philippines),onehrad.com,https://onehrad.darwinbox.com/ms/candidate/careers
MobiKwik,mobikwik,https://mobikwik.darwinbox.in/ms/candidate/careers
Modinity Group,modinity.com,https://modinity.darwinbox.com/ms/candidate/careers
Mordor Intelligence,mordorintelligence,https://mordorintelligence.darwinbox.in/ms/candidate/careers
More Retail,hrmsmoreretail,https://hrmsmoreretail.darwinbox.in/ms/candidate/careers
MOVIN Express,movin,https://movin.darwinbox.in/ms/candidate/careers
MyHR,myhr,https://myhr.darwinbox.in/ms/candidate/careers
Ninjacart,ninjacart,https://ninjacart.darwinbox.in/ms/candidate/careers
Niva Bupa Health Insurance (Disha),disha,https://disha.darwinbox.in/ms/candidate/careers
NIVEA India,nivea,https://nivea.darwinbox.in/ms/candidate/careers
NoBroker,nobroker,https://nobroker.darwinbox.in/ms/candidate/careers
OneSource Specialty Pharma (Stelis),stelis,https://stelis.darwinbox.in/ms/candidate/careers
PDAX (Philippine Digital Asset Exchange),pdax.com,https://pdax.darwinbox.com/ms/candidate/careers
Piramal,piramal,https://piramal.darwinbox.in/ms/candidate/careers
Piramal Finance,piramalfinance,https://piramalfinance.darwinbox.in/ms/candidate/careers
