name,slug,url
Afya,afya,https://afya.gupy.io
Ambev,ambev,https://ambev.gupy.io
Americanas,americanas,https://americanas.gupy.io
Assaí Atacadista,assai,https://assai.gupy.io
Bemobi,bemobi,https://bemobi.gupy.io
Boavista Tecnologia,boavista,https://boavista.gupy.io
C&A Brasil,cea,https://cea.gupy.io
ClickBus,clickbus,https://clickbus.gupy.io
Cocamar,cocamar,https://cocamar.gupy.io
Cogna Educação,cogna,https://cogna.gupy.io
Construtora Tenda,tenda,https://tenda.gupy.io
Creditas,creditas,https://creditas.gupy.io
CSN,csn,https://csn.gupy.io
CVC Corp,cvccorp,https://cvccorp.gupy.io
Cyrela,cyrela,https://cyrela.gupy.io
Dafiti,dafiti,https://dafiti.gupy.io
Dexco,dexco,https://dexco.gupy.io
EcoRodovias,ecorodovias,https://ecorodovias.gupy.io
Fast Shop,fastshop,https://fastshop.gupy.io
Gafisa,gafisa,https://gafisa.gupy.io
Globo,globo,https://globo.gupy.io
GPA,gpa,https://gpa.gupy.io
Grupo Boticário,grupoboticario,https://grupoboticario.gupy.io
Grupo Positivo,positivo,https://positivo.gupy.io
Grupo Tigre,tigre,https://tigre.gupy.io
Ipiranga,ipiranga,https://ipiranga.gupy.io
Localiza,localiza,https://localiza.gupy.io
Lojas Renner,renner,https://renner.gupy.io
Minsait,minsait,https://minsait.gupy.io
Movida,movida,https://movida.gupy.io
Petz,petz,https://petz.gupy.io
Porto Seguro,porto,https://porto.gupy.io
Riachuelo,riachuelo,https://riachuelo.gupy.io
Rumo Logística,rumolog,https://rumolog.gupy.io
Sicredi,sicredi,https://sicredi.gupy.io
Spread Tecnologia,spread,https://spread.gupy.io
Stefanini,stefanini,https://stefanini.gupy.io
Suzano,suzano,https://suzano.gupy.io
Tecban,tecban,https://tecban.gupy.io
Total Express,totalexpress,https://totalexpress.gupy.io
Unidas,unidas,https://unidas.gupy.io
Usiminas,usiminas,https://usiminas.gupy.io
Vibra Energia,vibra,https://vibra.gupy.io
Vivara,vivara,https://vivara.gupy.io
Vivo,vivo,https://vivo.gupy.io
Webmotors,webmotors,https://webmotors.gupy.io
WEG,weg,https://weg.gupy.io
YDUQS,yduqs,https://yduqs.gupy.io
