name,slug,url
Trip.com Group,trip/70415,https://app.mokahr.com/social-recruitment/trip/70415
BIGO,bigo/37723,https://app.mokahr.com/social-recruitment/bigo/37723
SHEIN,shein/2933,https://app.mokahr.com/social-recruitment/shein/2933
Zhihu,zhihu/78336,https://app.mokahr.com/social-recruitment/zhihu/78336
Geely Holding Group,geely/96123,https://app.mokahr.com/social-recruitment/geely/96123
Huya,huya/4111,https://app.mokahr.com/social-recruitment/huya/4111
CloudWalk,cloudwalk/4871,https://app.mokahr.com/social-recruitment/cloudwalk/4871
Tongdun Technology,tongdun/29005,https://app.mokahr.com/social-recruitment/tongdun/29005
Audi China,audi/147989,https://app.mokahr.com/social-recruitment/audi/147989
Manbang Group,manbang/46269,https://app.mokahr.com/social-recruitment/manbang/46269
XPeng (Huitian),xiaopeng/67918,https://app.mokahr.com/social-recruitment/xiaopeng/67918
Ninebot,ninebot/45626,https://app.mokahr.com/social-recruitment/ninebot/45626
Marriott International,marriott/141002,https://app.mokahr.com/social-recruitment/marriott/141002
Shopee,shopee/2963,https://app.mokahr.com/social-recruitment/shopee/2963
4Paradigm,4paradigm/102013,https://app.mokahr.com/social-recruitment/4paradigm/102013
ZTE,zte/47588,https://app.mokahr.com/social-recruitment/zte/47588
Baicizhan,baicizhan/121,https://app.mokahr.com/social-recruitment/baicizhan/121
VIPKid,vipkid/147402,https://app.mokahr.com/social-recruitment/vipkid/147402
East Money,eastmoney/57970,https://app.mokahr.com/social-recruitment/eastmoney/57970
Panasonic Group,panasonic/5215,https://app.mokahr.com/social-recruitment/panasonic/5215
Ford China,ford/38867,https://app.mokahr.com/social-recruitment/ford/38867
GM China,gm/123968,https://app.mokahr.com/social-recruitment/gm/123968
Rakuten R&D China,rakuten/47725,https://app.mokahr.com/social-recruitment/rakuten/47725
ZhongAn Insurance,zhongan/102015,https://app.mokahr.com/social-recruitment/zhongan/102015
DeepRoute.ai,deeproute/143885,https://app.mokahr.com/social-recruitment/deeproute/143885
Klook,hire-r1/klookcareers/100008011,https://hire-r1.mokahr.com/social-recruitment/klookcareers/100008011
OSL,hire-r1/osl/100008006,https://hire-r1.mokahr.com/social-recruitment/osl/100008006
Tesla APAC,hire-r1/tesla/100004142,https://hire-r1.mokahr.com/social-recruitment/tesla/100004142
Traveloka,hire-r1/traveloka/100008526,https://hire-r1.mokahr.com/social-recruitment/traveloka/100008526
