name,slug,url
데이원컴퍼니,day1company,https://day1company.ninehire.site/
삼양라운드스퀘어,samyangroundsquare,https://samyangroundsquare.ninehire.site/
신성통상 / 에이션패션,ssts,https://ssts.ninehire.site/
미소,miso,https://miso.ninehire.site/
Telechips,telechipscareer,https://telechipscareer.ninehire.site/
AITRICS,aitrics,https://aitrics.ninehire.site/
바이트랩,bitelab,https://bitelab.ninehire.site/
커넥트웨이브,connectwave,https://connectwave.ninehire.site/
TYM,tym,https://tym.ninehire.site/
한화비전,hanwhavision,https://hanwhavision.ninehire.site/
로보티즈,robotisrecruiter,https://robotisrecruiter.ninehire.site/
메라키플레이스,merakiplace,https://merakiplace.ninehire.site/
넵튠,ug6h08u8,https://ug6h08u8.ninehire.site/
네비웍스,naviworks,https://naviworks.ninehire.site/
TVING,tving,https://tving.ninehire.site/
페이히어,payhere,https://payhere.ninehire.site/
테크타카(ARGO),techtaka,https://techtaka.ninehire.site/
위대한상상 (요기요),wesangcareer,https://wesangcareer.ninehire.site/
Tibero,tibero,https://tibero.ninehire.site/
테헤란컴퍼니그룹,teherancompanygroup,https://teherancompanygroup.ninehire.site/
비모소프트,vimosoft,https://vimosoft.ninehire.site/
빌드코퍼레이션,vuildcorp,https://vuildcorp.ninehire.site/
STARMED,starmed,https://starmed.ninehire.site/
데카트론코리아,decathlon,https://decathlon.ninehire.site/
레블코퍼레이션,rebelcorp,https://rebelcorp.ninehire.site/
화이트큐브,whitecube,https://whitecube.ninehire.site/
홈앤코,homeco,https://homeco.ninehire.site/
메뉴잇,menuit,https://menuit.ninehire.site/
오뚜기라면,otokirm,https://otokirm.ninehire.site/
