name,slug,url
Aalborg Universitet,aau,https://aau.varbi.com/
Högskolan Kristianstad,hkr,https://hkr.varbi.com/
Högskolan i Gävle,hogskolanigavle,https://hogskolanigavle.varbi.com/
Högskolan Väst,hv,https://hv.varbi.com/
Jönköping University,ju,https://ju.varbi.com/
Karlstads universitet,kau,https://kau.varbi.com/
Karolinska Institutet (KI),ki,https://ki.varbi.com/
KTH Royal Institute of Technology,kth,https://kth.varbi.com/
Lunds universitet,lu,https://lu.varbi.com/
Mittuniversitetet,miun,https://miun.varbi.com/
Radboud Universiteit,ru,https://ru.varbi.com/
Stockholms universitet,su,https://su.varbi.com/
Eindhoven University of Technology,tue,https://tue.varbi.com/
Umeå universitet,umu,https://umu.varbi.com/
